team,team_url,n_series,n_matches,n_tournaments,n_tournaments_w_series,update_time
Str8 Rippin,https://liquipedia.net/halo/Str8_Rippin,165,125,64,51,2021-12-31T13:07:11Z
OpTic Gaming,https://liquipedia.net/halo/OpTic_Gaming,139,207,42,38,2021-12-31T13:07:11Z
Evil Geniuses,https://liquipedia.net/halo/Evil_Geniuses,104,117,39,35,2021-12-31T13:07:11Z
Final Boss,https://liquipedia.net/halo/Final_Boss,108,52,34,31,2021-12-31T13:07:11Z
Carbon,,105,80,32,30,2021-12-31T13:07:11Z
Cloud9,https://liquipedia.net/halo/Cloud9,104,192,29,28,2021-12-31T13:07:11Z
Counter Logic Gaming,https://liquipedia.net/halo/Counter_Logic_Gaming,73,131,24,23,2021-12-31T13:07:11Z
eLevate,https://liquipedia.net/halo/ELevate,59,45,24,25,2021-12-31T13:07:11Z
Triggers Down,,82,29,24,23,2021-12-31T13:07:11Z
Instinct,,76,29,23,22,2021-12-31T13:07:11Z
Status Quo,https://liquipedia.net/halo/Status_Quo,66,58,23,20,2021-12-31T13:07:11Z
Team Liquid,https://liquipedia.net/halo/Team_Liquid,57,79,23,19,2021-12-31T13:07:11Z
Splyce,https://liquipedia.net/halo/Splyce,60,66,20,18,2021-12-31T13:07:11Z
Denial Esports,https://liquipedia.net/halo/Denial_eSports,9,30,19,3,2021-12-31T13:07:11Z
Team Infused,https://liquipedia.net/halo/Team_Infused,46,66,19,16,2021-12-31T13:07:11Z
Believe The Hype,,57,26,17,18,2021-12-31T13:07:11Z
Falling Esports,https://liquipedia.net/halo/Falling_Esports,41,29,16,15,2021-12-31T13:07:11Z
Pittsburgh Knights,https://liquipedia.net/halo/Pittsburgh_Knights,74,40,16,15,2021-12-31T13:07:11Z
Supremacy,https://liquipedia.net/halo/Supremacy,29,19,16,10,2021-12-31T13:07:11Z
Fire N Ice Esports,https://liquipedia.net/halo/Fire_N_Ice_Esports,,,15,,2021-12-31T13:07:11Z
Reality Check,,42,17,15,15,2021-12-31T13:07:11Z
Shoot To Kill,,10,3,15,3,2021-12-31T13:07:11Z
Dynasty,,34,,14,12,2021-12-31T13:07:11Z
Team EnVyUs,https://liquipedia.net/halo/Team_EnVyUs,48,108,14,13,2021-12-31T13:07:11Z
Team Reciprocity,https://liquipedia.net/halo/Team_Reciprocity,37,43,14,14,2021-12-31T13:07:11Z
Sentinels,https://liquipedia.net/halo/Sentinels,55,111,13,13,2021-12-31T13:07:11Z
Team Allegiance,https://liquipedia.net/halo/Team_Allegiance,26,36,13,12,2021-12-31T13:07:11Z
Classic,,40,15,12,12,2021-12-31T13:07:11Z
exceL Esports,https://liquipedia.net/halo/ExceL_eSports,,,12,,2021-12-31T13:07:11Z
Inconceivable,,42,71,12,12,2021-12-31T13:07:11Z
Kansas City Pioneers,https://liquipedia.net/halo/Kansas_City_Pioneers,,,12,,2021-12-31T13:07:11Z
Team 3D,https://liquipedia.net/halo/Team_3D,16,18,12,5,2021-12-31T13:07:11Z
Team Immunity,https://liquipedia.net/halo/Team_Immunity,19,14,12,10,2021-12-31T13:07:11Z
Vexed Gaming,https://liquipedia.net/halo/Vexed_Gaming,22,14,12,9,2021-12-31T13:07:11Z
Renegades,https://liquipedia.net/halo/Renegades,25,32,11,10,2021-12-31T13:07:11Z
SkitLite Gaming,,13,,11,8,2021-12-31T13:07:11Z
Team Vitality,https://liquipedia.net/halo/Team_Vitality,18,19,11,7,2021-12-31T13:07:11Z
XiT Woundz,,28,3,11,10,2021-12-31T13:07:11Z
Ambush,,26,,10,9,2021-12-31T13:07:11Z
Legendz,,25,8,10,8,2021-12-31T13:07:11Z
Millenium,,12,12,10,5,2021-12-31T13:07:11Z
Storm Ventures,,19,,10,6,2021-12-31T13:07:11Z
TOX Gaming,https://liquipedia.net/halo/TOX_Gaming,42,63,10,10,2021-12-31T13:07:11Z
Warriors,,23,,10,8,2021-12-31T13:07:11Z
3sUP,https://liquipedia.net/halo/3sUP,,,9,,2021-12-31T13:07:11Z
FAB Games eSports,https://liquipedia.net/halo/FAB_Games_eSports,,,9,,2021-12-31T13:07:11Z
Luminosity Gaming,https://liquipedia.net/halo/Luminosity_Gaming,,,9,,2021-12-31T13:07:11Z
Check Six,,5,,8,2,2021-12-31T13:07:11Z
Mock-It Esports,https://liquipedia.net/halo/Mock-It_Esports,38,44,8,15,2021-12-31T13:07:11Z
Noble Black,,24,31,8,8,2021-12-31T13:07:11Z
PuLse Gaming,https://liquipedia.net/halo/Pulse_Gaming,,,8,,2021-12-31T13:07:11Z
Winterfox,https://liquipedia.net/halo/Winterfox,24,26,8,7,2021-12-31T13:07:11Z
Business,,33,21,7,7,2021-12-31T13:07:11Z
Cartel,,38,45,7,7,2021-12-31T13:07:11Z
Epsilon eSports,https://liquipedia.net/halo/Epsilon_eSports,17,41,7,6,2021-12-31T13:07:11Z
eXcellence Gaming,https://liquipedia.net/halo/EXcellence_Gaming,15,14,7,7,2021-12-31T13:07:11Z
Fable eSports,https://liquipedia.net/halo/Fable_eSports,13,14,7,6,2021-12-31T13:07:11Z
iGameSpot,,4,,7,1,2021-12-31T13:07:11Z
Leviathan,,12,2,7,6,2021-12-31T13:07:11Z
LuxGaming Clan,,24,31,7,8,2021-12-31T13:07:11Z
No Talent,,3,,7,1,2021-12-31T13:07:11Z
Oxygen Supremacy,https://liquipedia.net/halo/Oxygen_Supremacy,20,12,7,7,2021-12-31T13:07:11Z
Team Domination,,3,,7,1,2021-12-31T13:07:11Z
Team NextX,,32,4,7,7,2021-12-31T13:07:11Z
The Dream Team,,11,,7,3,2021-12-31T13:07:11Z
VwS Gaming,https://liquipedia.net/halo/VwS_Gaming,19,,7,7,2021-12-31T13:07:11Z
We Know The Secret,,2,,7,1,2021-12-31T13:07:11Z
Enigma6 Group,https://liquipedia.net/halo/Enigma6_Group,13,37,6,5,2021-12-31T13:07:11Z
eRa Eternity,https://liquipedia.net/halo/ERa_Eternity,10,3,6,4,2021-12-31T13:07:11Z
Fatal Ambition,,18,,6,6,2021-12-31T13:07:11Z
Fnatic,https://liquipedia.net/halo/Fnatic,8,,6,3,2021-12-31T13:07:11Z
FootFungas792,,15,20,6,6,2021-12-31T13:07:11Z
French Toast Mafia,,12,,6,5,2021-12-31T13:07:11Z
G2 Esports,https://liquipedia.net/halo/G2_Esports,29,48,6,6,2021-12-31T13:07:11Z
Golden Modem Squad,,17,32,6,6,2021-12-31T13:07:11Z
Hydra Gaming,,12,15,6,5,2021-12-31T13:07:11Z
Infamous,,18,20,6,7,2021-12-31T13:07:11Z
Mock-it Esports,https://liquipedia.net/halo/Mock-It_Esports,,,6,,2021-12-31T13:07:11Z
Nfinite,https://liquipedia.net/halo/Nfinite,17,6,6,6,2021-12-31T13:07:11Z
Shock The World,https://liquipedia.net/halo/Shock_The_World,15,,6,6,2021-12-31T13:07:11Z
Solaris,https://liquipedia.net/halo/Solaris,18,22,6,6,2021-12-31T13:07:11Z
Team Envy,https://liquipedia.net/halo/Team_Envy,23,31,6,8,2021-12-31T13:07:11Z
Team Vibe,https://liquipedia.net/halo/Team_Vibe,10,31,6,4,2021-12-31T13:07:11Z
Trademark Gamers,,7,8,6,2,2021-12-31T13:07:11Z
Void,,31,4,6,6,2021-12-31T13:07:11Z
Wrecking Gaming,,,,6,,2021-12-31T13:07:11Z
5K,,16,10,5,5,2021-12-31T13:07:11Z
Authority,,18,7,5,5,2021-12-31T13:07:11Z
Carnage Gaming,,7,,5,2,2021-12-31T13:07:11Z
Chosen Squad,https://liquipedia.net/halo/Chosen_Squad,9,9,5,3,2021-12-31T13:07:11Z
Cutting Edge Esports,,,,5,,2021-12-31T13:07:11Z
eUnited,https://liquipedia.net/halo/EUnited,30,71,5,5,2021-12-31T13:07:11Z
FBI The Agency,,,,5,,2021-12-31T13:07:11Z
Flyers,,12,,5,2,2021-12-31T13:07:11Z
Gamers First,https://liquipedia.net/halo/Gamers_First,19,25,5,5,2021-12-31T13:07:11Z
Legion Raccoon,,8,6,5,3,2021-12-31T13:07:11Z
Liquid Swords,,18,13,5,5,2021-12-31T13:07:11Z
Natus Vincere,https://liquipedia.net/halo/Natus_Vincere,31,72,5,5,2021-12-31T13:07:11Z
Nice Like Rice,,12,8,5,4,2021-12-31T13:07:11Z
NTSC,,1,,5,1,2021-12-31T13:07:11Z
Núcleo Artem,,5,,5,1,2021-12-31T13:07:11Z
Pnda Gaming,https://liquipedia.net/halo/Pnda_Gaming,11,9,5,5,2021-12-31T13:07:11Z
