tier,title,name,game,url,start_date,end_date,is_multi_day,prize,region,location,n_participants,first_place,second_place,first_place_abbrv,second_place_abbrv,first_place_has_page,second_place_has_page,scrape_time
S,2022,Halo World Championship 2022,Halo Infinite,https://liquipedia.net/halo/Halo_World_Championship/2022,2022-10-20,2022-10-23,TRUE,1000000,United States,"Seattle, United States",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
S,2019,Halo Championship Series Invitational 2019,Halo 3,https://liquipedia.net/halo/Halo_Championship_Series/Invitational/2019,2019-03-15,2019-03-17,TRUE,100000,United States,"Austin, United States",6,Team Reciprocity,TOX Gaming,REC,TOX,FALSE,FALSE,2021-12-30T14:52:33Z
S,2018,Halo Championship Series 2018 Finals,Halo 5: Guardians,https://liquipedia.net/halo/Halo_Championship_Series/2018/Finals,2018-11-16,2018-11-18,TRUE,300000,United States,"Atlanta, United States",20,TOX Gaming,Team Reciprocity,TOX,REC,FALSE,FALSE,2021-12-30T14:52:33Z
S,2018,Halo World Championship 2018,Halo 5: Guardians,https://liquipedia.net/halo/Halo_World_Championship/2018,2018-04-13,2018-04-15,TRUE,1000000,United States,"Seattle, United States",16,Splyce,TOX Gaming,SPY,TOX,FALSE,FALSE,2021-12-30T14:52:33Z
S,2017,HCS Pro League 2017 Fall Global Finals,Halo 5: Guardians,https://liquipedia.net/halo/Halo_Championship_Series/Pro_League/2017/Fall,2017-10-20,2017-10-22,TRUE,200000,United States,"Denver, United States",16,OpTic Gaming,Team Liquid,OpTic,TL,FALSE,FALSE,2021-12-30T14:52:33Z
S,2017,HCS Pro League 2017 Summer Global Finals,Halo 5: Guardians,https://liquipedia.net/halo/Halo_Championship_Series/Pro_League/2017/Summer,2017-07-22,2017-07-23,TRUE,200000,United States,"Atlanta, United States",16,Splyce,OpTic Gaming,SPY,OpTic,FALSE,FALSE,2021-12-30T14:52:33Z
S,2017,Halo World Championship 2017,Halo 5: Guardians,https://liquipedia.net/halo/Halo_World_Championship/2017,2017-03-24,2017-03-26,TRUE,1000000,United States,"Burbank, United States",12,OpTic Gaming,Team EnVyUs,OpTic,Envy,FALSE,FALSE,2021-12-30T14:52:33Z
S,2016,Halo World Championship 2016,Halo 5: Guardians,https://liquipedia.net/halo/Halo_World_Championship/2016,2016-03-18,2016-03-20,TRUE,2500000,United States,"Hollywood, United States",16,Counter Logic Gaming,Team Allegiance,CLG,ALG,FALSE,FALSE,2021-12-30T14:52:33Z
S,2015,Halo Championship Series Season 2: Finals,Halo 2: Anniversary,https://liquipedia.net/halo/Halo_Championship_Series/Season_2/Finals,2015-07-24,2015-07-26,TRUE,150000,United States,"California, United States",8,Evil Geniuses,Counter Logic Gaming,EG,CLG,FALSE,FALSE,2021-12-30T14:52:33Z
S,2015,Halo Championship Series Season 1: Finals,Halo 2: Anniversary,https://liquipedia.net/halo/Halo_Championship_Series/Season_1/Finals,2015-03-06,2015-03-08,TRUE,100000,United States,"Boston, United States",9,Evil Geniuses,Counter Logic Gaming,EG,CLG,FALSE,FALSE,2021-12-30T14:52:33Z
S,2011,MLG National Championship 2011,Halo Reach,https://liquipedia.net/halo/MLG/2011/National_Championship,2011-11-18,2011-11-20,TRUE,280000,United States,"Providence, United States",8,Instinct,Warriors,Instinct,Warriors,TRUE,TRUE,2021-12-30T14:52:33Z
S,2010,MLG National Championship 2010,Halo 3,https://liquipedia.net/halo/MLG/2010/National_Championship,2010-11-05,2010-11-07,TRUE,280000,United States,"Dallas, United States",8,Final Boss,Status Quo,FB,SQ,FALSE,FALSE,2021-12-30T14:52:33Z
S,2010,MLG National Championship 2009,Halo 3,https://liquipedia.net/halo/MLG/2009/National_Championship,2010-01-08,2010-01-10,TRUE,280000,United States,"Orlando, United States",8,Believe The Hype,Classic,BTH,Classic,TRUE,TRUE,2021-12-30T14:52:33Z
A,2022,Halo Championship Series 2022: Orlando Major,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Orlando,2022-09-23,2022-09-25,TRUE,250000,United States,"Orlando, United States",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
A,2022,Halo Championship Series 2022: Kansas City Major,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Kansas_City,2022-04-29,2022-05-01,TRUE,250000,United States,"Kansas City, United States",NA,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
A,2022,Halo Championship Series 2022: Europe Super,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_1/Europe/Super,2022-03-25,2022-03-27,TRUE,100000,Europe,"Online, Europe",24,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
A,2022,Halo Championship Series 2022: Mexico Super,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_1/Mexico/Super,2022-03-04,2022-03-06,TRUE,50000,Mexico,"Online, Mexico",24,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
A,2022,Halo Championship Series 2022: Oceania Super,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_1/Oceania/Super,2022-03-04,2022-03-06,TRUE,50000,Oceania,"Online, Oceania",24,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
A,2022,Halo Championship Series 2022: North America Regionals,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021-22/Split_1/North_America/Championship,2022-02-11,2022-02-13,TRUE,125000,United States,"Anaheim, United States",24,NA,NA,NA,NA,NA,NA,2021-12-30T14:52:33Z
A,2021,Halo Championship Series 2021: Kickoff Major,Halo Infinite,https://liquipedia.net/halo/Halo_Championship_Series/2021/Kickoff_Major,2021-12-17,2021-12-19,TRUE,350000,United States,"Raleigh, United States",272,Cloud9,EUnited,C9,eU,FALSE,FALSE,2021-12-30T14:52:33Z
A,2021,Twitch Rivals: Halo Infinite Showdown,Halo Infinite,https://liquipedia.net/halo/Twitch_Rivals/Halo_Infinite_Showdown,2021-12-13,2021-12-13,FALSE,50000,North America,"Online, North America",8,Team Echidna,Team Gigz,Team Echidna,GIG,TRUE,TRUE,2021-12-30T14:52:33Z
A,2021,BoomTV - Game Pass Invitational,Halo Infinite,https://liquipedia.net/halo/BoomTV/Game_Pass_Invitational,2021-12-03,2021-12-03,FALSE,50000,North America,"Online, North America",16,Team Frosty,Team MissLehcar,FRO,MLC,TRUE,TRUE,2021-12-30T14:52:33Z
A,2021,Twitch Rivals: Halo 3 Throwback with Ninja 4v4,Halo 3,https://liquipedia.net/halo/Twitch_Rivals/Halo_3_Throwback_with_Ninja,2021-11-13,2021-11-13,FALSE,150000,North America,"Online, North America",8,Status Quo,Believe The Hype,SQ,BTH,FALSE,TRUE,2021-12-30T14:52:33Z
A,2021,Twitch Rivals: Throwback with Ninja - 4v4,Halo 2,https://liquipedia.net/halo/Twitch_Rivals/Throwback_with_Ninja/4v4,2021-08-19,2021-08-19,FALSE,120000,North America,"Online, North America",4,The Agency,Carbon,TA,CbN,TRUE,TRUE,2021-12-30T14:52:33Z
A,2020,DreamHack Halo Series 2020: Anaheim,Halo Reach,https://liquipedia.net/halo/DreamHack_Halo_Series/2020/Anaheim,2020-02-21,2020-02-23,TRUE,50000,United States,"Anaheim, United States",8,Team Mantra,Unlimited,Mantra,Unlimited,FALSE,TRUE,2021-12-30T14:52:33Z
A,2019,DreamHack Halo Series 2019: Atlanta,Halo 3,https://liquipedia.net/halo/DreamHack_Halo_Series/2019/Atlanta,2019-11-15,2019-11-17,TRUE,50000,United States,"Atlanta, United States",8,TOX Gaming,LuxGaming Clan,TOX,LuxGaming,FALSE,TRUE,2021-12-30T14:52:33Z
A,2019,FACEIT Ignite: Halo European Open,Halo 3,https://liquipedia.net/halo/FACEIT_Ignite,2019-08-17,2019-08-18,TRUE,25000,United Kingdom,"London, United Kingdom",12,TOX Gaming,Rebel,TOX,RBL,FALSE,TRUE,2021-12-30T14:52:33Z
A,2019,DreamHack Halo Series 2019: Dallas,Halo 3,https://liquipedia.net/halo/DreamHack_Halo_Series/2019/Dallas,2019-05-31,2019-06-02,TRUE,50000,United States,"Dallas, United States",8,TOX Gaming,Falling Esports,TOX,Falling,FALSE,FALSE,2021-12-30T14:52:33Z
